Sample ID,Date,Site name,Day,Month,Year,Time,Time rounded,Notes,Temperature (oC),pH,Gran alkalinity μeq/L,Suspended solids mg/L,Soluble reactive phosphorus (μg/L),Total dissolved phosphorus (μg/L),Total phosphorus (μg/L),Total reactive phosphorus (μg/l),Dissolved ammonium (NH4) (mg/l),Dissolved silicon (mg Si/L) ,Chlorophyll-a (μg/L),Dissolved fluoride (mg F/L),Dissolved chloride (mg Cl/L),Dissolved nitrite (mg NO2/L),Dissolved nitrate (NO3),Dissolved Nitrate-N (mg N/L),Dissolved sulphate (mg SO4/L),Total dissolved nitrogen (mg N/L),N check,Dissolved organic carbon (mg/L),Field pH,Conductivity,Eh,DO Temp,% DO,DO     mg/l,,Dissolved Al (ppm),Dissolved B (ppb),Dissolved Ca (ppm),Dissolved Fe (ug/l)),Dissolved K (mg/l),Dissolved Mg (mg/l),Dissolved Na (mg/l),Dissolved P (ppm),Dissolved S (ppm),Dissolved Si (ppm),Dissolved Mn (ug/l),Dissolved Zn (ug/l),Dissolved Cu (ug/l),,Total Na (mg/l),Total Ca (mg/l),Total Mg (mg/l),Total B (ug/l),Total Fe (ug/l),Total Mn (ug/l),Total Zn (ug/l),Total Cu (ug/l),Total Al (ug/l),,Mean daily flow (m3/s),,Site,Date,Green_diatoms,Green_meso,Green meso 2,Green_pico,Crypto 1,Crypto 2,Crypto 3,Cyano1,Cyano2,Cyano3,Cyano4,,,,,,,
TC20,25/01/10,Kennet at Woolhampton,25,1,10,10:20,10:15,,6.5,7.84,4606,15.87,65,87,129,,0.034,7.60,4.16,0.14,23.16,0.06,27.08,6.12,22.37,6.26,6.14,3.52,,,,,,,,,23,107.1,,2.3,2.3,11.3,,,,,,,,,,,,,,,,,,17.00,,,,,,,,,,,,,,,,,,,,,
TC20,01/02/10,Kennet at Woolhampton,2,2,10,10:34,10:30,,4.8,8.03,4734,9.33,57,66,82,,0.055,7.73,1.51,0.12,22.32,0.10,28.96,6.54,22.50,6.90,6.58,2.76,,,,,,,,,22,113.2,,2.4,2.2,10.9,,,,,,,,,,,,,,,,,,15.70,,,,,,,,,,,,,,,,,,,,,
TC20,08/02/10,Kennet at Woolhampton,8,2,10,10:00,10:00,,6.8,7.96,4799,9.39,57,67,91,,0.036,7.35,3.29,0.12,21.72,0.03,28.88,6.52,22.15,6.63,6.55,2.46,,,,,,,,,21,112.9,,1.9,2.1,10.6,,,,,,,,,,,,,,,,,,15.40,,,,,,,,,,,,,,,,,,,,,
TC20,15/02/10,Kennet at Woolhampton,15,2,10,10:30,10:30,,6.2,8.1,4598,8.73,51,57,85,,0.047,7.22,2.11,0.09,22.78,0.12,28.84,6.51,20.25,6.61,6.55,1.90,,,,,,,,,21,103.4,,2.8,1.9,9.3,,,,,,,,,,,,,,,,,,14.00,,,,,,,,,,,,,,,,,,,,,
TC20,22/02/10,Kennet at Woolhampton,22,2,10,11:06,11:00,,6.5,8.06,4145,14.25,50,56,208,,0.062,6.50,2.15,0.10,29.58,0.03,27.11,6.12,19.60,5.96,6.17,4.88,,,,,,,,,21,107.8,,4.4,2.2,14.5,,,,,,,,,,,,,,,,,,18.90,,,,,,,,,,,,,,,,,,,,,
TC20,01/03/10,Kennet at Woolhampton,1,3,10,10:30,10:30,,7.4,7.88,3888,16.53,34,79,128,,0.051,6.24,4.25,0.11,22.04,0.20,24.01,5.42,19.92,5.65,5.46,3.38,,,,,,,,,23,103.7,,2.4,2.3,11.3,,,,,,,,,,,,,,,,,,21.90,,,,,,,,,,,,,,,,,,,,,
TC20,09/03/10,Kennet at Woolhampton,9,3,10,10:20,10:15,,7.3,8.02,4438,7.22,37,40,54,,0.028,6.97,2.97,0.14,21.15,0.00,28.62,6.46,20.12,6.49,6.48,1.56,,,,,,,,,20,117.3,,1.8,2.0,9.7,,,,,,,,,,,,,,,,,,15.20,,,,,,,,,,,,,,,,,,,,,
TC20,15/03/10,Kennet at Woolhampton,15,3,10,9:05,9:00,,8.2,8.02,4668,9.76,24,45,75,,0.007,6.28,9.19,0.14,21.53,0.00,27.94,6.31,20.51,6.30,6.31,1.60,,,,,,,,,21,113.1,,1.8,2.0,10.2,,,,,,,,,,,,,,,,,,14.60,,,,,,,,,,,,,,,,,,,,,
TC20,22/03/10,Kennet at Woolhampton,22,3,10,10:34,10:30,,10.2,7.97,4338,12.53,6,48,89,,0.005,6.49,12.62,0.14,21.98,0.00,26.93,6.08,19.86,6.41,6.08,1.91,,,,,,,,,20,111.8,,2.1,2.0,10.6,,,,,,,,,,,,,,,,,,15.40,,,,,,,,,,,,,,,,,,,,,
TC20,06/04/10,Kennet at Woolhampton,NA,NA,NA,NA,,sample not taken,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,,,,,,,,,NA,NA,,NA,NA,NA,,,,,,,,,,,,,,,,,,16.20,,,,,,,,,,,,,,,,,,,,,
TC20,13/04/10,Kennet at Woolhampton,13,4,10,11:24,11:30,,10.9,7.97,4601,13.99,4,13,63,,0.014,5.38,45.46,0.11,20.93,0.04,26.51,5.99,19.31,6.25,5.99,3.41,,,,,,,,,20,103.7,,1.9,2.1,9.8,,,,,,,,,,,,,,,,,,13.90,,,,,,,,,,,,,,,,,,,,,
TC20,19/04/10,Kennet at Woolhampton,19,4,10,10:05,10:00,,12.8,8.06,4446,9.51,3,15,46,,0.015,4.59,11.32,0.12,20.76,0.03,26.39,5.96,19.00,6.04,5.97,1.93,,,,,,,,,21,107.6,,1.7,2.0,9.9,,,,,,,,,,,,,,,,,,13.30,,,,,,,,,,,,,,,,,,,,,
TC20,27/04/10,Kennet at Woolhampton,27,4,10,9:20,9:15,,12.3,7.93,4563,10.55,10,12,43,,0.036,4.93,17.14,0.11,22.20,0.03,26.47,5.98,18.66,6.19,6.00,2.16,,,,,,,,,21,110.0,,3.4,2.0,9.9,,,,,,,,,,,,,,,,,,12.60,,,,,,,,,,,,,,,,,,,,,
TC20,04/05/10,Kennet at Woolhampton,4,5,10,9:49,9:45,,10.1,8.06,4762,6.69,15,33,69,,0.047,6.08,9.43,0.10,21.05,0.03,26.13,5.90,18.59,6.03,5.93,,,,,,,,,,21,110.6,,1.8,2.0,10.2,,,,,,,,,,,,,,,,,,12.60,,,,,,,,,,,,,,,,,,,,,
TC20,10/05/10,Kennet at Woolhampton,10,5,10,8:00,8:00,,9.7,8.04,4450,8.37,23,27,55,,0.057,6.38,7.32,0.11,21.41,0.07,27.49,6.21,19.08,6.36,6.25,,,,,,,,,,20,111.8,,1.8,1.9,9.9,,,,,,,,,,,,,,,,,,11.50,,,,,,,,,,,,,,,,,,,,,
TC20,17/05/10,Kennet at Woolhampton,17,5,10,9:35,9:30,,12.1,8.07,4140,8.33,23,32,56,,0.093,5.91,4.39,0.13,21.36,0.01,26.33,5.95,20.11,5.98,6.02,,,,,,,,,,20,105.1,,1.7,1.9,9.4,,,,,,,,,,,,,,,,,,11.50,,,,,,,,,,,,,,,,,,,,,
TC20,25/05/10,Kennet at Woolhampton,25,5,10,12:19,12:15,,18.7,8.09,4590,9.2,30,48,81,,0.017,6.72,11.19,0.12,21.37,0.03,26.02,5.87,20.78,5.92,5.89,,,,,,,,,,22,113.2,,2.1,2.0,11.2,,,,,,,,,,,,,,,,,,8.90,,,,,,,,,,,,,,,,,,,,,
TC20,01/06/10,Kennet at Woolhampton,1,6,10,13:15,13:15,,13.9,8.03,4411,8.64,31,40,74,,0.055,7.08,9.16,0.14,22.59,0.06,27.69,6.25,20.31,6.11,6.29,,,,,,,,,,20,104.9,,1.8,1.9,10.4,,,,,,,,,,,,,,,,,,8.73,,,,,,,,,,,,,,,,,,,,,
TC20,07/06/10,Kennet at Woolhampton,7,6,10,9:50,9:45,,19.4,8.09,4583,13.26,25,40,78,,0.024,7.26,12.27,0.14,21.97,0.01,26.59,6.00,20.29,6.01,6.02,,,,,,,,,,21,103.9,,1.7,1.9,10.3,,,,,,,,,,,,,,,,,,8.24,,,,,,,,,,,,,,,,,,,,,
TC20,14/06/10,Kennet at Woolhampton,14,6,10,10:55,11:00,,17.1,7.99,4424,10.74,31,33,66,,0.067,7.25,11.36,0.13,22.68,0.06,24.98,5.64,18.25,5.74,5.69,,,,,,,,,,20,104.3,,2.4,1.9,10.1,,,,,,,,,,,,,,,,,,7.70,,,,,,,,,,,,,,,,,,,,,
TC20,21/06/10,Kennet at Woolhampton,21,6,10,12:45,12:45,,17.3,8.16,4545,8.49,21,45,66,,0.021,7.37,4.61,0.12,21.92,0.03,25.97,5.86,17.93,6.13,5.88,,,,,,,,,,21,106.9,,1.8,2.0,10.3,,,,,,,,,,,,,,,,,,6.69,,,,,,,,,,,,,,,,,,,,,
TC20,28/06/10,Kennet at Woolhampton,28,6,10,14:03,14:00,,20.3,8.23,4293,11,8,32,60,,0.005,7.64,7.75,0.13,23.49,0.07,24.59,5.55,19.61,5.85,5.55,,,,,,,,,,22,105.6,,2.0,2.0,10.9,,,,,,,,,,,,,,,,,,5.99,,,,,,,,,,,,,,,,,,,,,
TC20,06/07/10,Kennet at Woolhampton,6,7,10,11:00,11:00,,16.6,8.05,4670,8.35,23,40,70,,0.042,7.67,4.64,0.13,22.97,0.30,24.74,5.59,19.42,5.68,5.62,,,,,,,,,,18,95.0,,1.8,1.8,11.6,,,,,,,,,,,,,,,,,,5.70,,,,,,,,,,,,,,,,,,,,,
TC20,12/07/10,Kennet at Woolhampton,12,7,10,13:21,13:15,,19.1,8.07,4732,,20,39,56,,0.026,7.45,11.39,0.13,22.08,0.01,22.84,5.16,18.73,5.42,5.18,,,,,,,,,,22,106.1,,1.9,2.0,11.0,,,,,,,,,,,,,,,,,,5.22,,,,,,,,,,,,,,,,,,,,,
TC20,19/07/10,Kennet at Woolhampton,19,7,10,13:11,13:15,,18.1,8.16,4602,7.06,7,37,66,,0.005,7.62,5.78,0.13,22.76,0.04,23.17,5.23,18.65,5.45,5.24,,,,,,,,,,21,106.6,,2.0,2.0,11.1,,,,,,,,,,,,,,,,,,5.20,,,,,,,,,,,,,,,,,,,,,
TC20,26/07/10,Kennet at Woolhampton,26,7,10,12:15,12:15,,18.3,7.97,4651,6.84,4,35,60,,0.016,7.07,3.46,0.12,22.52,0.00,23.44,5.29,18.97,5.64,5.30,,,,,,,,,,22,109.3,,2.3,2.1,11.9,,,,,,,,,,,,,,,,,,5.14,,,,,,,,,,,,,,,,,,,,,
TC20,02/08/10,Kennet at Woolhampton,2,8,10,13:58,14:00,,17.6,8.17,4547,,25,28,64,,0.020,6.94,7.32,0.18,22.26,0.00,23.28,5.26,18.70,5.27,5.27,,,,,,,,,,21,105.1,,2.0,2.0,11.9,,,,,,,,,,,,,,,,,,4.86,,,,,,,,,,,,,,,,,,,,,
TC20,09/08/10,Kennet at Woolhampton,9,8,10,9:55,10:00,,16.2,8.01,4642,6.5,15,14,40,,0.015,6.81,4.30,0.18,23.27,0.00,23.89,5.39,18.55,5.26,5.40,,,,,,,,,3.3,22,105.8,10.6,2.1,2.1,12.2,,,,2.6,2.0,0.0,,12.2,108.3,2.0,23,94.6,6.1,3.0,0.0,35.8,,4.84,,,,,,,,,,,,,,,,,,,,,
TC20,16/08/10,Kennet at Woolhampton,16,8,10,10:00,10:00,,15.1,8.06,4563,7.77,19,25,42,,0.016,6.88,4.62,0.19,22.46,0.00,23.82,5.38,19.40,5.53,5.39,,,,,,,,,6.9,22,108.8,10.3,2.2,2.0,12.0,,,,2.5,1.8,0.0,,11.7,102.4,2.0,22,88.5,5.4,2.8,0.0,36.2,,4.84,,,,,,,,,,,,,,,,,,,,,
TC20,23/08/10,Kennet at Woolhampton,23,8,10,9:50,9:45,,16.8,7.97,4278,,30,42,83,,0.009,6.71,12.82,0.16,24.65,0.00,20.70,4.67,18.77,4.88,4.68,,,,,,,,,1.0,22,95.8,18.6,6.0,1.9,11.2,,,,5.1,5.6,7.1,,11.8,98.7,2.0,23,208.4,13.0,5.6,1.7,49.9,,7.38,,,,,,,,,,,,,,,,,,,,,
TC20,31/08/10,Kennet at Woolhampton,31,8,10,14:14,14:15,,15.2,8.16,4464,14.41,27,22,56,,0.037,7.00,6.36,0.13,22.43,0.46,19.94,4.50,18.91,4.98,4.53,,,,,,,,,-3.7,24,108.4,15.2,2.3,2.3,12.4,,,,3.6,2.2,0.3,,11.9,107.5,2.1,23,163.7,7.9,4.1,1.5,58.0,,4.90,,,,,,,,,,,,,,,,,,,,,
TC20,06/09/10,Kennet at Woolhampton,6,9,10,13:20,13:15,,15,8.04,4608,8.69,10,57,67,,0.017,6.67,6.61,0.11,22.04,0.06,21.60,4.88,18.67,5.20,4.89,,,,,,,,,10.2,23,105.5,19.1,2.2,2.2,12.1,,,,3.7,2.9,3.0,,12.1,104.6,2.0,22,106.7,6.5,3.5,1.1,31.3,,5.27,,,,,,,,,,,,,,,,,,,,,
TC20,13/09/10,Kennet at Woolhampton,13,9,10,14:14,14:15,,14.9,8.05,4779,,19,31,50,,0.009,7.06,4.86,0.00,21.67,0.08,20.54,4.64,17.85,4.91,4.64,,,,,,,,,7.2,24,111.4,15.5,2.3,2.2,12.8,,,,3.6,1.6,1.3,,11.8,106.7,2.0,23,78.4,6.1,2.7,0.4,22.9,,4.67,,,,,,,,,,,,,,,,,,,,,
TC20,21/09/10,Kennet at Woolhampton,21,9,10,9:50,9:45,,13.3,8.05,4664,6.37,21,31,40,,0.021,6.59,3.17,0.06,23.81,0.00,23.48,5.30,19.62,5.53,5.32,,,,,,,,,-0.7,24,117.9,10.3,2.5,2.2,14.5,,,,3.2,4.4,2.8,,13.4,104.1,2.1,24,86.5,6.0,4.1,1.0,21.4,,4.41,,,,,,,,,,,,,,,,,,,,,
TC20,27/09/10,Kennet at Woolhampton,27,9,10,13:40,13:45,,11.8,8.09,4546,3.46,30,37,47,,0.034,6.86,2.14,0.12,21.86,0.00,22.10,4.99,17.46,5.23,5.01,,,,,,,,,0.0,22,111.4,10.8,2.3,2.1,12.2,,,,2.7,2.1,0.4,,11.4,108.3,2.1,22,61.8,4.7,3.1,0.3,14.9,,4.32,,,,,,,,,,,,,,,,,,,,,
TC20,04/10/10,Kennet at Woolhampton,4,10,10,12:45,12:45,,13.4,8.07,4623,,27,47,54,,0.008,7.10,5.82,0.36,22.23,0.00,21.58,4.87,18.67,4.60,4.88,,,,,,,,,12.4,24,104.9,18.6,2.4,2.1,11.4,,,,8.8,1.9,0.4,,11.1,101.0,2.0,24,132.9,7.6,3.6,0.4,39.8,,6.61,,,,,,,,,,,,,,,,,,,,,
TC20,11/10/10,Kennet at Woolhampton,11,10,10,15:56,16:00,,14,8.13,4704,8.64,15,32,55,,0.009,7.20,16.07,0.23,23.13,0.00,22.82,5.15,19.33,5.06,5.16,,,,,,,,,0.3,23,109.9,14.1,2.3,2.1,12.4,,,,4.2,2.5,0.2,,11.9,108.9,2.1,24,105.9,7.1,4.4,0.5,36.3,,4.50,,,,,,,,,,,,,,,,,,,,,
TC20,18/10/10,Kennet at Woolhampton,18,10,10,15:21,15:15,,9.7,7.96,4478,5.49,13,22,65,,0.021,7.19,13.07,0.09,22.05,0.01,23.84,5.38,17.55,5.48,5.40,,,,,,,,,-1.4,21,102.5,10.8,2.1,2.0,11.3,,,,3.2,2.1,0.1,,12.2,112.9,2.2,23,76.3,5.1,3.2,1.5,16.9,,4.15,,,,,,,,,,,,,,,,,,,,,
TC20,25/10/10,Kennet at Woolhampton,25,10,10,14:29,14:30,,8.1,7.95,4403,,17,21,41,,0.141,6.85,12.36,0.12,23.48,0.09,23.62,5.33,17.25,5.68,5.44,2.36,,,,,,,,0.9,22,104.6,13.2,2.3,2.0,11.5,,,,3.2,2.5,2.1,,11.6,103.4,2.1,24,80.5,5.1,3.5,1.5,24.1,,4.23,,,,,,,,,,,,,,,,,,,,,
TC20,01/11/10,Kennet at Woolhampton,1,11,10,16:12,16:15,,11,7.91,4838,4.84,11,19,47,,0.012,4.56,9.51,0.08,22.25,0.00,23.70,5.35,19.09,5.67,5.36,5.23,,,,,,,,15.0,21,101.8,25.7,2.2,1.9,11.0,,,,3.5,1.8,0.3,,11.5,105.2,2.1,25,79.5,5.3,3.1,0.8,36.6,,4.22,,,,,,,,,,,,,,,,,,,,,
TC20,08/11/10,Kennet at Woolhampton,8,11,10,13:55,14:00,,9,8.05,4607,7.09,14,27,79,,0.030,6.71,12.51,0.08,21.98,0.00,20.27,4.58,18.80,5.49,4.60,5.66,,,,,,,,1.4,23,99.0,30.3,2.8,2.1,11.6,,,,5.0,3.5,0.6,,11.5,98.9,2.2,23,134.3,7.9,5.2,2.2,37.9,,7.05,,,,,,,,,,,,,,,,,,,,,
TC20,15/11/10,Kennet at Woolhampton,15,11,10,9:45,9:45,,7.3,7.96,4775,,33,45,65,,0.075,4.61,5.31,0.07,24.23,0.00,22.52,5.09,21.59,5.26,5.14,4.47,,,,,,,,2.7,23,101.6,24.6,2.6,2.2,12.4,,,,6.1,4.1,1.6,,13.5,110.1,2.4,26,97.4,7.9,3.8,0.5,23.1,,6.19,,,,,,,,,,,,,,,,,,,,,
TC20,22/11/10,Kennet at Woolhampton,22,11,10,14:41,14:45,,8.2,7.96,4901,4.65,33,29,54,,0.077,4.62,5.24,0.08,23.83,0.00,23.62,5.33,21.11,6.48,5.39,4.29,,,,,,,,-1.4,24,110.7,15.4,2.4,2.2,12.4,,,,5.2,2.3,1.0,,13.3,117.3,2.5,25,85.9,7.3,3.3,1.1,24.4,,5.44,,,,,,,,,,,,,,,,,,,,,
TC20,29/11/10,Kennet at Woolhampton,29,11,10,15:09,15:15,,2.1,8.04,4815,3.47,24,32,51,,0.027,7.33,6.33,0.11,22.62,0.04,26.04,5.88,18.32,6.98,5.90,1.84,,,,,,,,13.6,22,108.1,37.9,2.3,2.2,12.0,,,,7.2,2.2,0.1,,13.1,120.6,2.4,23,73.5,7.0,2.5,1.0,13.7,,4.83,,,,,,,,,,,,,,,,,,,,,
TC20,06/12/10,Kennet at Woolhampton,6,12,10,16:17,16:15,,3.1,8.07,4620,,34,42,59,,0.043,7.42,5.58,0.11,26.51,0.01,25.31,5.72,18.62,6.35,5.75,2.18,,,,,,,,0.4,22,111.3,18.6,2.4,2.3,15.0,,,,4.7,2.2,0.7,,15.3,118.3,2.3,23,67.4,6.0,3.1,44.2,0.2,,5.22,,,,,,,,,,,,,,,,,,,,,
TC20,13/12/10,Kennet at Woolhampton,13,12,10,10:29,10:30,,4.6,8.01,4584,3.07,36,61,81,,0.038,7.26,6.60,0.12,24.60,0.84,25.67,5.80,21.71,5.87,5.82,2.66,,,,,,,,7.4,22,111.0,21.0,2.5,2.1,14.2,,,,4.9,2.7,0.6,,16.6,119.8,2.4,26,73.2,6.5,3.2,1.5,20.7,,4.99,,,,,,,,,,,,,,,,,,,,,
TC20,20/12/10,Kennet at Woolhampton,20,12,10,12:18,12:15,5-6ins snow in area. Snow falling most of day.,0.8,8.01,4940,3.53,37,49,65,,0.045,7.34,10.70,0.14,26.51,0.07,25.92,5.85,19.44,6.02,5.89,NA,,,,,,,,1.7,21,105.5,23.1,2.2,2.1,13.9,,,,5.4,2.6,6.6,,15.7,116.7,2.3,22,65.4,6.8,3.1,1.4,10.5,,4.69,,,,,,,,,,,,,,,,,,,,,
TC20,04/01/11,Kennet at Woolhampton,4,1,11,10:00,10:00,,4.3,8.07,4593,,51,55,75,,0.106,7.43,15.03,0.15,24.74,0.11,24.55,5.54,19.01,5.74,5.62,NA,,,,,,,,1.0,22,104.9,13.9,2.3,2.1,12.8,,,,5.5,2.0,-0.7,,13.6,112.7,2.4,23,88.4,7.6,3.8,-1.4,24.9,,4.64,,,,,,,,,,,,,,,,,,,,,
TC20,10/01/11,Kennet at Woolhampton,10,1,11,10:35,10:30,,4.8,7.94,3926,21.63,44,70,455,,0.032,7.24,7.97,0.14,27.11,0.00,23.79,5.37,21.50,5.21,5.39,NA,,,,,,,,6.8,22,102.1,24.3,2.6,2.3,14.4,,,,5.3,3.1,-0.3,,15.0,105.6,2.5,24,358.0,14.9,9.3,6.4,103.6,,8.24,,,,,,,,,,,,,,,,,,,,,
TC20,17/01/11,Kennet at Woolhampton,17,1,11,10:55,11:00,,8.4,7.94,4096,23.92,59,77,141,,0.034,7.19,8.22,0.11,24.46,0.08,21.35,4.82,19.16,5.55,4.85,NA,,,,,,,,9.8,22,97.2,24.0,2.5,2.3,13.1,,,,6.6,3.0,-1.1,,13.3,106.8,2.4,24,394.7,17.9,9.5,2.4,170.1,,16.00,,,,,,,,,,,,,,,,,,,,,
TC20,24/01/11,Kennet at Woolhampton,24,1,11,9:10,9:15,,6.4,7.93,4518,,56,67,93,,0.050,7.73,3.68,0.11,23.35,0.08,25.32,5.72,20.92,6.48,5.75,NA,,,,,,,,2.9,21,107.8,13.6,2.3,2.3,11.3,,,,6.5,1.7,0.2,,11.5,112.7,2.3,23,140.9,10.1,3.8,1.0,48.1,,9.36,,,,,,,,,,,,,,,,,,,,,
TC20,31/01/11,Kennet at Woolhampton,31,1,11,11:42,11:45,,3.6,7.96,4252,5.99,48,53,71,,0.038,7.66,2.02,0.11,22.23,0.07,26.51,5.99,19.93,5.61,6.01,NA,,,,,,,,0.3,21,110.8,15.5,2.0,2.3,11.7,,,,5.4,2.0,0.1,,11.2,112.5,2.2,21,87.2,7.3,2.6,-0.1,18.3,,8.30,,,,,,,,,,,,,,,,,,,,,
TC20,08/02/11,Kennet at Woolhampton,8,2,11,15:18,15:15,,8.2,8.09,4408,11.72,52,50,79,,0.071,7.60,2.75,0.11,23.85,0.05,26.55,5.99,21.86,5.43,6.05,NA,,,,,,,,4.0,22,113.7,9.2,2.2,2.2,13.0,,,,4.8,2.0,0.2,,13.2,114.9,2.3,22,185.6,9.4,5.7,1.0,64.9,,7.88,,,,,,,,,,,,,,,,,,,,,
TC20,14/02/11,Kennet at Woolhampton,14,2,11,16:08,16:15,,7.9,7.98,4452,,52,62,109,,0.044,7.32,6.06,0.11,24.31,0.04,24.50,5.53,19.90,5.81,5.56,NA,,,,,,,,16.8,22.2,107.9,35.7,2.5,2.4,13.2,,,,5.5,2.3,0.4,,13.3,109.1,2.4,22.7,252.6,11.1,5.1,1.4,85.5,,12.90,,,,,,,,,,,,,,,,,,,,,
TC20,21/02/11,Kennet at Woolhampton,21,2,11,12:03,12:00,,7.2,7.93,4465,9.34,46,53,83,,0.070,8.01,4.07,0.11,23.43,0.04,25.21,5.69,19.85,6.78,5.75,NA,,,,,,,,3.8,22.2,112.6,15.5,2.2,2.3,11.9,,,,5.4,2.3,0.2,,12.2,112.3,2.3,21.7,142.5,9.3,4.2,0.9,38.1,,10.80,,,,,,,,,,,,,,,,,,,,,
