Sample ID,Date,Site name,Day,Month,Year,Time,Time rounded,Notes,Temperature (oC),pH,Gran alkalinity μeq/L,Suspended solids mg/L,Soluble reactive phosphorus (μg/L),Total dissolved phosphorus (μg/L),Total phosphorus (μg/L),Total reactive phosphorus (μg/l),Dissolved ammonium (NH4) (mg/l),Dissolved silicon (mg Si/L) ,Chlorophyll-a (μg/L),Dissolved fluoride (mg F/L),Dissolved chloride (mg Cl/L),Dissolved nitrite (mg NO2/L),Dissolved nitrate (NO3),Dissolved Nitrate-N (mg N/L),Dissolved sulphate (mg SO4/L),Total dissolved nitrogen (mg N/L),N check,Dissolved organic carbon (mg/L),Field pH,Conductivity,Eh,DO Temp,% DO,DO     mg/l,,Dissolved Al (ppm),Dissolved B (ppb),Dissolved Ca (ppm),Dissolved Fe (ug/l)),Dissolved K (mg/l),Dissolved Mg (mg/l),Dissolved Na (mg/l),Dissolved P (ppm),Dissolved S (ppm),Dissolved Si (ppm),Dissolved Mn (ug/l),Dissolved Zn (ug/l),Dissolved Cu (ug/l),,Total Na (mg/l),Total Ca (mg/l),Total Mg (mg/l),Total B (ug/l),Total Fe (ug/l),Total Mn (ug/l),Total Zn (ug/l),Total Cu (ug/l),Total Al (ug/l),,Mean daily flow (m3/s),,Site,Date,Green_diatoms,Green_meso,Green meso 2,Green_pico,Crypto 1,Crypto 2,Crypto 3,Cyano1,Cyano2,Cyano3,Cyano4,,,,,,,
TC11,05/05/09,Ock at Abingdon,5,5,9,14:40,14:45,,12.6,8.21,4391,5.9,206,228,260,,0.028,5.40,10.73,0.10,33.50,0.10,32.00,7.23,66.00,7.70,7.25,3.60,,,,,,,,,65,145.1,,6.0,4.8,24.4,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,
TC11,11/05/09,Ock at Abingdon,11,5,9,15:46,15:45,,14.3,8.13,4809,5.6,204,227,255,,0.020,5.60,10.73,0.10,34.50,0.10,32.50,7.34,77.00,7.70,7.35,3.30,,,,,,,,,65,142.0,,6.3,4.7,24.7,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,
TC11,18/05/09,Ock at Abingdon,18,5,9,14:30,14:30,,13,8.03,4148,7.4,204,246,277,,0.034,6.80,7.98,0.10,34.50,0.20,30.00,6.77,69.00,7.40,6.80,4.00,,,,,,,,,60,123.3,,5.6,4.4,21.8,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,
TC11,26/05/09,Ock at Abingdon,26,5,9,15:57,16:00,,16.5,7.94,4615,5.8,238,272,306,,<0.004,6.70,5.53,0.10,34.50,<0.1,31.50,7.11,68.00,7.60,#VALUE!,3.40,,,,,,,,,64,121.8,,5.6,4.2,22.4,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,
TC11,01/06/09,Ock at Abingdon,1,6,9,16:13,16:15,,18.9,7.99,3896,5.8,268,310,343,,0.006,7.40,5.55,0.10,35.80,<0.1,34.50,7.79,69.50,8.20,7.79,3.70,,,,,,,,,45,129.8,,6.3,4.4,25.6,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,
TC11,08/06/09,Ock at Abingdon,8,6,9,16:14,16:15,,13.6,8.01,4320,6.6,312,336,371,,0.106,6.80,6.29,0.20,32.50,0.40,24.00,5.42,61.50,5.60,5.50,5.10,,,,,,,,,64,118.0,,6.8,4.2,21.9,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,
TC11,15/06/09,Ock at Abingdon,15,6,9,15:54,16:00,,18.20,7.94,4299,5.0,276,307,327,,0.004,7.20,3.67,0.20,35.00,<0.1,29.00,6.55,68.00,6.70,6.55,3.60,,,,,,,,,65,130.7,,5.7,4.2,23.6,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,
TC11,22/06/09,Ock at Abingdon,22,6,9,15:52,15:45,,16.90,8.11,4619,5.2,290,354,365,,0.058,7.50,2.97,0.10,34.00,<0.1,27.50,6.21,67.50,6.60,6.25,4.70,,,,,,,,,59,126.6,,5.5,4.1,22.7,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,
TC11,29/06/09,Ock at Abingdon,29,6,9,16:27,16:30,,21.00,7.89,4620,6.3,329,362,396,,0.006,8.20,3.88,0.10,36.50,<0.1,26.00,5.87,67.00,6.20,5.87,3.50,,,,,,,,,63,117.9,,6.3,4.1,23.8,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,
TC11,06/07/09,Ock at Abingdon,6,7,9,15:48,15:45,,19.30,7.92,4628,8.8,334,363,392,,<0.004,8.10,3.57,0.20,36.50,<0.1,29.00,6.55,65.00,6.60,#VALUE!,3.60,,,,,,,,,64,118.8,,6.5,4.0,25.4,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,
TC11,13/07/09,Ock at Abingdon,13,7,9,15:45,15:45,,18.70,7.92,4527,5.24,318,357,346,,0.018,7.50,3.49,0.20,34.00,<0.1,26.50,5.98,62.50,6.10,6.00,4.60,,,,,,,,,62,114.7,,5.7,3.9,22.8,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,
TC11,20/07/09,Ock at Abingdon,20,7,9,16:13,16:15,,16.9,7.99,4774,5.83,334,341,362,,0.032,8.00,2.56,0.20,33.00,<0.1,26.50,5.98,62.50,6.20,6.01,3.90,,,,,,,,,64,119.5,,5.8,4.0,21.6,,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,
TC11,27/07/09,Ock at Abingdon,27,7,9,15:38,15:45,,17.9,8.02,4514,3.7,326,345,363,,0.026,7.40,2.28,0.20,38.00,<0.1,28.50,6.44,66.50,6.60,6.45,3.80,,,,,,,,,67,120.0,,6.7,4.2,28.1,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,
TC11,04/08/09,Ock at Abingdon,4,8,9,15:54,16:00,,17.6,7.97,4608,4.8,331,364,386,,0.050,7.90,3.22,0.20,37.50,<0.1,28.50,6.44,67.50,6.60,6.47,4.40,,,,,,,,,64,123.8,,6.2,4.2,24.5,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,
TC11,10/08/09,Ock at Abingdon,10,8,9,15:45,15:45,,17.6,7.92,4548,6.7,253,284,298,,0.006,7.90,2.25 ,0.20,34.50,<0.1,27.00,6.10,78.00,6.20,6.10,5.10,,,,,,,,,77,130.7,,6.1,4.7,22.6,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,
TC11,17/08/09,Ock at Abingdon,17,8,9,14:09,14:15,,18.6,7.97,5125,5.4,280,310,329,,0.004,8.00,2.87,0.20,41.00,<0.1,32.00,7.23,78.50,7.40,7.23,3.90,,,,,,,,,73,128.7,,6.7,4.5,27.5,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,
TC11,24/08/09,Ock at Abingdon,24,8,9,16:08,16:15,,18.3,7.92,5015,5.31,306,313,322,,0.026,7.60,2.81,0.20,41.00,<0.1,29.00,6.55,75.00,6.80,6.57,3.80,,,,,,,,,71,121.4,,7.0,4.2,27.4,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,
TC11,02/09/09,Ock at Abingdon,2,9,9,14:38,14:45,,16.4,7.92,4488,8.2,323,342,369,,0.026,7.40,3.79,0.20,17.00,<0.1,22.00,4.97,34.50,7.10,4.99,3.60,,,,,,,,,70,122.4,,7.2,4.2,28.9,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,
TC11,07/09/09,Ock at Abingdon,7,9,9,15:14,15:15,,16.3,8.03,4569,6.93,327,352,365,,0.014,7.40,2.76,0.10,41.00,0.10,32.00,7.23,75.50,7.60,7.23,3.40,,,,,,,,,71,122.2,,6.9,4.3,27.7,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,
TC11,15/09/09,Ock at Abingdon,15,9,9,15:35,15:30,,,8.03,4349,4.81,371,394,420,,0.030,7.30,4.42,0.10,43.00,<0.1,34.00,7.68,79.50,8.30,7.70,3.60,,,,,,,,,64,104.8,,6.2,3.9,25.9,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,
TC11,22/09/09,Ock at Abingdon,22,9,9,15:45,15:45,,,8.02,4561,4.77,384,412,424,,0.030,7.30,3.51,0.10,44.00,<0.1,36.50,8.24,79.00,8.80,8.26,3.50,,,,,,,,,74,119.5,,7.3,4.5,31.2,,,,,,,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,
TC11,29/09/09,Ock at Abingdon,29,9,9,14:45,14:45,,,8.02,4628,5.31,409,443,461,,0.034,4.00,4.29,0.10,46.00,<0.1,35.50,8.02,84.00,8.50,8.04,3.90,,,,,,,,,76,125.0,,7.9,4.8,31.5,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,
TC11,05/10/09,Ock at Abingdon,5,10,9,11:00,11:00,,,7.97,4412,6.94,364,464,427,,0.004,7.10,5.55,0.20,46.00,<0.1,39.50,8.92,79.50,9.20,8.92,3.90,,,,,,,,,78,131.3,,8.3,4.8,33.8,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,
TC11,13/10/09,Ock at Abingdon,13,10,9,17:15,17:15,,,7.89,4723,4.01,371,398,421,,0.044,7.30,1.44,0.08,43.48,0.11,31.93,7.21,80.25,7.30,7.24,3.80,,,,,,,,,67,122.9,,7.6,4.7,28.3,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,
TC11,20/10/09,Ock at Abingdon,20,10,9,14:30,14:30,,11.5,7.87,5023,3.26,349,387,408,,0.022,7.00,1.94,0.08,44.66,0.11,35.53,8.02,84.91,8.10,8.04,3.40,,,,,,,,,70,132.6,,7.9,5.4,31.2,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,
TC11,27/10/09,Ock at Abingdon,27,10,9,11:10,11:15,,14.6,7.84,4592,3.64,349,378,400,,0.022,6.88,2.41,0.08,44.06,0.11,28.65,6.47,85.00,7.00,6.48,5.90,,,,,,,,,78,133.5,,8.5,5.5,31.0,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,
TC11,03/11/09,Ock at Abingdon,3,11,9,13:00,13:00,,13.2,7.88,4624,4.29,294,323,340,,0.152,6.35,2.08,0.16,39.77,0.13,18.38,4.15,78.14,4.60,4.27,4.40,,,,,,,,,68,124.1,,7.8,5.3,24.4,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,
TC11,10/11/09,Ock at Abingdon,10,11,9,12:50,12:45,,10,7.92,4706,3.82,287,313,338,,0.076,6.78,1.40,0.14,42.32,0.03,29.80,6.73,86.28,7.02,6.78,4.20,,,,,,,,,67,133.4,,7.3,5.3,27.9,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,
TC11,17/11/09,Ock at Abingdon,17,11,9,12:00,12:00,,9.6,7.9,4676,5.77,218,247,281,,0.108,6.82,0.95,0.21,40.45,0.30,50.42,11.38,97.31,11.68,11.46,7.80,,,,,,,,,79,146.2,,7.3,6.1,29.6,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,
TC11,24/11/09,Ock at Abingdon,24,11,9,11:40,11:45,,10.2,7.8,4179,27.65,211,239,328,,0.078,6.67,2.96,0.27,39.99,0.15,52.11,11.77,93.80,11.32,11.82,8.90,,,,,,,,,80,135.6,,6.2,6.3,23.0,,,,,,,,,,,,,,,,,,1.81,,,,,,,,,,,,,,,,,,,,,
TC11,01/12/09,Ock at Abingdon,1,12,9,11:55,12:00,,6.2,7.83,4124,25.8,157,179,252,,0.081,6.78,3.32,0.32,37.28,0.04,51.79,11.69,88.23,11.68,11.75,10.60,,,,,,,,,76,127.3,,5.5,6.1,20.6,,,,,,,,,,,,,,,,,,2.20,,,,,,,,,,,,,,,,,,,,,
TC11,08/12/09,Ock at Abingdon,8,12,9,12:10,12:15,,7.9,7.81,3864,47.60,155,187,301,,0.092,6.46,3.35,0.50,32.58,0.06,47.78,10.79,74.16,10.82,10.86,10.38,,,,,,,,,80,122.6,,5.0,5.8,19.1,,,,,,,,,,,,,,,,,,3.98,,,,,,,,,,,,,,,,,,,,,
TC11,16/12/09,Ock at Abingdon,16,12,9,12:10,12:15,,5.6,7.89,4781,6.92,171,188,219,,0.053,6.95,0.91,0.33,41.88,0.02,37.50,8.47,90.58,8.55,8.51,5.91,,,,,,,,,72,145.1,,5.6,5.6,23.9,,,,,,,,,,,,,,,,,,1.60,,,,,,,,,,,,,,,,,,,,,
TC11,05/01/10,Ock at Abingdon,5,1,10,11:50,11:45,No analysis until 11/01/10 (Snow),2.3,8.02,5140,8.5,122,150,152,,0.166,6.98,0.90,0.26,38.20,0.03,41.39,9.35,80.44,9.77,9.47,7.68,,,,,,,,,64,135.7,,4.6,5.1,21.1,,,,,,,,,,,,,,,,,,2.19,,,,,,,,,,,,,,,,,,,,,
TC11,12/01/10,Ock at Abingdon,12,1,10,12:05,12:00,,2.7,7.99,5286,6.34,144,166,198,,0.550,7.12,1.14,0.22,58.73,0.16,36.42,8.22,81.77,8.92,8.65,4.82,,,,,,,,,60,143.1,,5.6,5.1,35.6,,,,,,,,,,,,,,,,,,1.59,,,,,,,,,,,,,,,,,,,,,
TC11,19/01/10,Ock at Abingdon,19,1,10,12:00,12:00,,5.4,7.77,3957,21.34,161,184,233,,0.058,6.87,1.55,0.37,30.88,0.07,40.57,9.16,60.99,9.83,9.20,9.70,,,,,,,,,62,111.7,,4.4,4.8,18.0,,,,,,,,,,,,,,,,,,5.44,,,,,,,,,,,,,,,,,,,,,
TC11,25/01/10,Ock at Abingdon,25,1,10,11:55,12:00,Higher flow levels than normal,5.4,7.82,4587,11.42,127,150,177,,0.093,7.37,1.14,0.32,34.54,0.08,40.10,9.06,71.44,9.25,9.13,7.13,,,,,,,,,66,129.9,,4.5,5.0,19.9,,,,,,,,,,,,,,,,,,4.53,,,,,,,,,,,,,,,,,,,,,
TC11,02/02/10,Ock at Abingdon,1,2,10,11:50,11:45,,4.8,8,4876,8.67,118,136,159,,0.119,7.49,1.42,0.26,36.96,0.04,37.77,8.53,73.79,9.13,8.62,5.39,,,,,,,,,61,135.8,,4.8,5.0,21.5,,,,,,,,,,,,,,,,,,2.68,,,,,,,,,,,,,,,,,,,,,
TC11,09/02/10,Ock at Abingdon,9,2,10,9:45,9:45,,4.9,8.01,5057,6.02,132,147,177,,0.064,7.27,0.72,0.26,34.71,0.03,37.82,8.54,75.08,8.77,8.59,5.68,,,,,,,,,61,137.7,,4.8,5.2,20.9,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,
TC11,16/02/10,Ock at Abingdon,16,2,10,12:00,12:00,,5.1,8.04,4966,4.67,127,142,168,,0.053,7.07,1.19,0.21,38.66,0.09,35.51,8.02,75.41,8.16,8.06,4.06,,,,,,,,,54,131.9,,4.5,4.5,21.8,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,
TC11,23/02/10,Ock at Abingdon,23,2,10,11:45,11:45,,4.7,7.89,3941,69.09,139,171,324,,0.080,6.44,7.84,0.33,31.02,0.01,32.35,7.31,56.78,7.67,7.37,3.25,,,,,,,,,68,111.6,,4.3,5.1,19.7,,,,,,,,,,,,,,,,,,5.48,,,,,,,,,,,,,,,,,,,,,
TC11,02/03/10,Ock at Abingdon,2,3,10,11:40,11:45,,5.9,7.88,4319,28.86,125,152,217,,0.057,6.50,2.65,0.30,27.17,0.02,31.91,7.20,53.63,7.42,7.25,10.80,,,,,,,,,67,113.7,,4.4,4.7,17.3,,,,,,,,,,,,,,,,,,6.06,,,,,,,,,,,,,,,,,,,,,
TC11,09/03/10,Ock at Abingdon,9,3,10,11:30,11:30,,5.5,8.05,4713,7.29,102,105,132,,0.062,7.07,1.42,0.24,32.25,0.00,35.86,8.10,68.46,8.06,8.14,4.94,,,,,,,,,53,135.7,,4.2,4.5,18.6,,,,,,,,,,,,,,,,,,2.44,,,,,,,,,,,,,,,,,,,,,
TC11,16/03/10,Ock at Abingdon,16,3,10,14:30,14:30,,8.4,8.25,4842,4.22,108,127,151,,0.026,6.60,3.57,0.22,32.76,0.00,32.45,7.33,68.26,7.72,7.34,5.04,,,,,,,,,52,131.4,,4.5,4.2,19.2,,,,,,,,,,,,,,,,,,1.99,,,,,,,,,,,,,,,,,,,,,
TC11,23/03/10,Ock at Abingdon,23,3,10,11:30,11:30,,8.6,8.13,4218,3.64,111,136,158,,0.037,6.26,10.19,0.21,34.63,0.00,30.65,6.92,69.68,7.29,6.95,4.20,,,,,,,,,55,139.8,,5.0,4.6,20.6,,,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,,,,,,,,
TC11,06/04/10,Ock at Abingdon,6,4,10,15:00,15:00,,10,8.05,5331,7.97,121,127,165,,0.033,6.29,3.67,0.28,29.94,0.26,30.33,6.85,66.10,7.44,6.87,7.74,,,,,,,,,66,131.6,,4.4,4.7,19.0,,,,,,,,,,,,,,,,,,2.85,,,,,,,,,,,,,,,,,,,,,
TC11,13/04/10,Ock at Abingdon,13,4,10,12:15,12:15,,10.8,8.15,5008,3.27,107,111,174,,0.064,5.78,2.75,0.16,32.80,0.06,31.76,7.17,66.58,7.55,7.22,4.68,,,,,,,,,53,130.9,,4.7,4.1,19.7,,,,,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,,,,,,,,,
TC11,21/04/10,Ock at Abingdon,21,4,10,14:50,14:45,,11.3,8.34,4840,3.67,104,109,130,,0.027,4.88,7.52,0.17,32.63,0.05,31.53,7.12,65.67,7.36,7.14,3.43,,,,,,,,,51,124.7,,4.8,4.1,19.7,,,,,,,,,,,,,,,,,,1.49,,,,,,,,,,,,,,,,,,,,,
TC11,27/04/10,Ock at Abingdon,27,4,10,13:00,13:00,,14.1,8.29,4732,3.98,115,125,154,,0.041,5.10,10.63,0.13,32.17,0.07,30.64,6.92,62.42,7.41,6.95,3.74,,,,,,,,,52,136.4,,5.8,4.6,23.6,,,,,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,,,,,,
TC11,04/05/10,Ock at Abingdon,4,5,10,15:25,15:30,,11.8,8.29,4886,3.9,191,216,239,,0.030,6.14,5.14,0.15,33.89,0.10,30.42,6.87,61.49,7.17,6.89,,,,,,,,,,49,126.4,,5.2,4.1,20.0,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,
TC11,11/05/10,Ock at Abingdon,11,5,10,14:00,14:00,,12.0,8.27,4480,3.4,163,178,198,,0.021,6.32,6.01,0.12,33.40,0.14,32.72,7.39,62.81,7.55,7.40,,,,,,,,,,47,120.4,,4.7,3.5,19.6,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,
TC11,18/05/10,Ock at Abingdon,18,5,10,14:35,14:30,,12.8,8.26,4693,3.64,157,177,212,,0.014,5.45,5.44,0.13,33.04,0.06,30.49,6.89,61.91,6.99,6.89,,,,,,,,,,50,121.4,,4.9,3.8,19.5,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,
TC11,26/05/10,Ock at Abingdon,26,5,10,15:20,15:15,,17.2,8.16,4596,3.71,216,247,260,,0.068,7.06,4.40,0.13,32.58,0.13,29.67,6.70,61.14,6.54,6.75,,,,,,,,,,48,116.7,,5.0,3.7,19.9,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,
TC11,02/06/10,Ock at Abingdon,2,6,10,14:20,14:15,,17.9,8.02,4529,4.66,252,262,291,,0.115,8.27,1.43,0.16,35.35,0.09,32.18,7.27,67.01,7.50,7.35,,,,,,,,,,47,118.3,,5.5,3.7,20.7,,,,,,,,,,,,,,,,,,0.80,,,,,,,,,,,,,,,,,,,,,
TC11,08/06/10,Ock at Abingdon,8,6,10,14:30,14:30,,15.8,7.85,4027,10.65,228,248,282,,0.046,7.65,2.47,0.16,33.65,0.10,29.12,6.58,56.36,6.68,6.61,,,,,,,,,,46,100.3,,5.0,3.2,20.6,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,
TC11,15/06/10,Ock at Abingdon,15,6,10,15:10,15:15,,16.1,8,4575,4.94,276,305,325,,0.046,8.17,2.40,0.13,34.22,0.08,26.19,5.91,63.05,5.97,5.95,,,,,,,,,,52,119.0,,5.6,3.9,21.3,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,
TC11,22/06/10,Ock at Abingdon,22,6,10,15:25,15:30,,17.5,8.16,4436,6.87,265,280,297,,0.057,8.17,1.83,0.14,35.59,0.06,30.98,7.00,63.78,7.24,7.04,,,,,,,,,,44,96.1,,4.6,3.4,18.0,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,
TC11,29/06/10,Ock at Abingdon,29,6,10,15:10,15:15,,20.1,8.07,4537,6.85,259,292,308,,0.042,9.30,3.16,0.13,35.09,0.07,28.23,6.37,64.36,6.70,6.40,,,,,,,,,,53,115.3,,6.2,3.8,23.7,,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,,
TC11,06/07/10,Ock at Abingdon,6,7,10,14:30,14:30,,17.3,7.92,4561,3.84,273,300,313,,0.050,9.50,1.82,0.17,38.81,0.08,32.03,7.23,68.63,7.46,7.27,,,,,,,,,,56,116.5,,6.0,4.0,26.0,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,
TC11,13/07/10,Ock at Abingdon,13,7,10,15:20,15:15,,17.5,7.77,4106,,305,300,337,,0.138,9.00,4.22,0.17,36.46,0.07,27.98,6.32,60.25,6.80,6.42,,,,,,,,,,56,102.0,,5.9,3.5,25.0,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,
TC11,19/07/10,Ock at Abingdon,19,7,10,14:50,14:45,,18.8,8,4454,4.05,294,327,343,,0.042,9.54,1.72,0.17,37.94,0.00,29.57,6.68,65.78,7.18,6.71,,,,,,,,,,57,113.4,,6.5,4.0,26.6,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,
TC11,27/07/10,Ock at Abingdon,27,7,10,14:30,14:30,,20.2,7.94,4505,4.18,324,331,348,,0.033,8.71,1.33,0.14,41.29,0.07,31.29,7.07,69.45,6.99,7.09,,,,,,,,,,67,124.4,,7.4,4.4,31.7,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,
